customer_id,name,email,phone,city,state,country,registration_date,created_at,updated_at
CUST00001,,aarav.sharma@gmail.com,,Mumbai,Maharashtra,India,,,
CUST00002,,priya.patel@yahoo.com,,Ahmedabad,Gujarat,India,,,
CUST00003,,rohan.mehta@gmail.com,,Delhi,Delhi,India,,,
CUST00004,,ananya.iyer@outlook.com,,Bangalore,Karnataka,India,,,
CUST00005,,vikram.singh@gmail.com,,Jaipur,Rajasthan,India,,,
CUST00006,,sneha.reddy@gmail.com,,Hyderabad,Telangana,India,,,
CUST00007,,arjun.nair@yahoo.com,,Kochi,Kerala,India,,,
CUST00008,,kavya.gupta@gmail.com,,Lucknow,Uttar Pradesh,India,,,
CUST00009,,aditya.joshi@outlook.com,,Pune,Maharashtra,India,,,
CUST00010,,meera.desai@gmail.com,,Surat,Gujarat,India,,,
CUST00011,,rahul.verma@gmail.com,,Chandigarh,Chandigarh,India,,,
CUST00012,,ishita.banerjee@yahoo.com,,Kolkata,West Bengal,India,,,
CUST00013,,karthik.menon@gmail.com,,Chennai,Tamil Nadu,India,,,
CUST00014,,divya.kapoor@outlook.com,,Delhi,Delhi,India,,,
CUST00015,,siddharth.rao@gmail.com,,Bangalore,Karnataka,India,,,
CUST00016,,nisha.agarwal@gmail.com,,Indore,Madhya Pradesh,India,,,
CUST00017,,varun.choudhary@yahoo.com,,Jaipur,Rajasthan,India,,,
CUST00018,,pooja.thakur@gmail.com,,Mumbai,Maharashtra,India,,,
CUST00019,,nikhil.saxena@outlook.com,,Lucknow,Uttar Pradesh,India,,,
CUST00020,,riya.malhotra@gmail.com,,Chandigarh,Chandigarh,India,,,
CUST00021,,amit.kulkarni@gmail.com,,Pune,Maharashtra,India,,,
CUST00022,,shreya.pandey@yahoo.com,,Bhopal,Madhya Pradesh,India,,,
CUST00023,,gaurav.tiwari@gmail.com,,Nagpur,Maharashtra,India,,,
CUST00024,,tanvi.bhatt@outlook.com,,Vadodara,Gujarat,India,,,
CUST00025,,manish.dubey@gmail.com,,Patna,Bihar,India,,,
CUST00026,,sakshi.chauhan@gmail.com,,Delhi,Delhi,India,,,
CUST00027,,harsh.pillai@yahoo.com,,Chennai,Tamil Nadu,India,,,
CUST00028,,aishwarya.krishnan@gmail.com,,Coimbatore,Tamil Nadu,India,,,
CUST00029,,deepak.yadav@outlook.com,,Lucknow,Uttar Pradesh,India,,,
CUST00030,,neha.sinha@gmail.com,,Kolkata,West Bengal,India,,,
CUST00031,,rajat.bose@gmail.com,,Visakhapatnam,Andhra Pradesh,India,,,
CUST00032,,simran.kaur@yahoo.com,,Chandigarh,Chandigarh,India,,,
CUST00033,,vishal.gowda@gmail.com,,Bangalore,Karnataka,India,,,
CUST00034,,pallavi.deshpande@outlook.com,,Nagpur,Maharashtra,India,,,
CUST00035,,tarun.malik@gmail.com,,Delhi,Delhi,India,,,
CUST00036,,aarti.shukla@gmail.com,,Indore,Madhya Pradesh,India,,,
CUST00037,,pranav.hegde@yahoo.com,,Kochi,Kerala,India,,,
CUST00038,,lakshmi.naidu@gmail.com,,Visakhapatnam,Andhra Pradesh,India,,,
CUST00039,,suresh.rajan@outlook.com,,Chennai,Tamil Nadu,India,,,
CUST00040,,megha.trivedi@gmail.com,,Ahmedabad,Gujarat,India,,,
CUST00041,,abhishek.mishra@gmail.com,,Bhopal,Madhya Pradesh,India,,,
CUST00042,,swati.kumar@yahoo.com,,Patna,Bihar,India,,,
CUST00043,,rajesh.naik@gmail.com,,Mumbai,Maharashtra,India,,,
CUST00044,,priti.sawant@outlook.com,,Pune,Maharashtra,India,,,
CUST00045,,mohit.sethi@gmail.com,,Hyderabad,Telangana,India,,,
CUST00046,,deepika.rathore@gmail.com,,Jaipur,Rajasthan,India,,,
CUST00047,,ashwin.prasad@yahoo.com,,Surat,Gujarat,India,,,
CUST00048,,komal.jain@gmail.com,,Vadodara,Gujarat,India,,,
CUST00049,,nitin.goswami@outlook.com,,Hyderabad,Telangana,India,,,
CUST00050,,anjali.bhat@gmail.com,,Bangalore,Karnataka,India,,,
